Latitude,Longitude,TotalCases
33.93911,67.709953,178295
41.1533,20.1683,274320
28.0339,1.6596,265731
42.5063,1.5218,40709
-11.2027,17.8739,99194
-71.9499,23.347,11
17.0608,-61.7964,7523
-38.4161,-63.6167,9057923
40.0691,45.0382,422711
-35.4735,149.0124,90567
-33.8688,151.2093,2079216
-12.4634,130.8456,56146
-27.4698,153.0251,889316
-34.9285,138.6007,337601
-42.8821,147.3272,115910
-37.8136,144.9631,1420083
-31.9505,115.8605,273520
47.5162,14.5501,4016540
40.1431,47.5769,792305
25.025885,-78.035889,33368
26.0275,50.55,561525
23.685,90.3563,1952162
13.1939,-59.5432,62968
53.7098,27.9534,971649
50.8333,4.469936,3943831
17.1899,-88.4976,57331
9.3077,2.3158,26952
27.5142,90.4336,47187
-16.2902,-63.5887,903677
43.9159,17.6791,376339
-22.3285,24.6849,305859
-14.235,-51.9253,30210934
4.5353,114.7277,139278
42.7339,25.4858,1147812
12.2383,-1.5616,20865
21.9162,95.956,612460
-3.3731,29.9189,38722
16.5388,-23.0418,55978
11.55,104.9167,136013
3.848,11.5021,119780
53.9333,-116.5765,552403
53.7267,-127.6476,357974
0,0,0
0,0,13
53.7609,-98.8139,136573
46.5653,-66.4619,48197
53.1355,-57.6604,41587
64.8255,-124.8457,11682
44.682,-63.7443,65991
70.2998,-83.1076,3531
51.2538,-85.3232,1216491
46.5107,-63.4168,30604
52.9399,-73.5491,1007003
NaN,NaN,13
52.9399,-106.4509,133256
64.2823,-135,4000
6.6111,20.9394,14649
15.4542,18.7322,7378
-35.6751,-71.543,3518800
31.8257,117.2264,1058
40.1824,116.4142,1828
30.0572,107.874,693
26.0789,117.9874,2942
35.7518,104.2861,681
23.3417,113.4244,6797
23.8298,108.7881,1538
26.8154,106.8748,178
19.1959,109.7453,283
39.549,116.1306,1984
47.862,127.7615,2515
37.8957,114.9042,2850
22.3,114.2,1194295
30.9756,112.2707,68394
27.6104,111.7088,1337
44.0935,113.9448,1688
32.9711,119.455,2113
27.614,115.7221,1069
43.6661,126.1923,38626
41.2956,122.6085,1608
22.1667,113.55,82
37.2692,106.1655,122
35.7452,95.9956,45
35.1917,108.8701,3258
36.3427,118.1498,2655
31.202,121.4491,17046
37.5777,112.2922,356
30.6171,102.7103,1971
39.3054,117.323,1799
31.6927,88.0924,1
NaN,NaN,315678
41.1129,85.2401,999
24.974,101.487,2089
29.1832,120.0934,2859
4.5709,-74.2973,6088912
-11.6455,43.3333,8100
-0.228,15.8277,24079
-4.0383,21.7587,86748
9.7489,-83.7534,844892
7.54,-5.5471,81838
45.1,15.2,1110989
21.521757,-77.781167,1098114
35.1264,33.4299,462945
49.8175,15.473,3875994
61.8926,-6.9118,34658
71.7069,-42.6043,11971
56.2639,9.5018,3091899
0,0,712
11.8251,42.5903,15598
15.415,-61.371,11986
18.7357,-70.1627,578626
-1.8312,-78.1834,865585
26.820553,30.802498,511977
13.7942,-88.8965,162089
1.6508,10.2679,15906
15.1794,39.7823,9733
58.5953,25.0136,565839
-26.5225,31.4659,70048
9.145,40.4897,470151
-17.7134,178.065,64502
61.92411,25.748151,920692
3.9339,-53.1258,79529
-17.6797,149.4068,72596
16.265,-61.551,142573
14.6415,-61.0242,148332
-12.8275,45.166244,36958
-20.904305,165.618042,60521
-21.1151,55.5364,360445
17.9,-62.8333,4313
46.8852,-56.3159,2537
18.0708,-63.0501,10176
-14.2938,-178.1165,454
46.2276,2.2137,26581294
-0.8037,11.6094,47591
13.4432,-15.3101,11990
42.3154,43.3569,1652235
51.165691,10.451526,23182447
7.9465,-1.0232,161086
39.0742,21.8243,3206948
12.1165,-61.679,14092
15.7835,-90.2308,837087
9.9456,-9.6966,36502
11.8037,-15.1804,8175
4.860416,-58.93018,63349
18.9712,-72.2852,30586
41.9029,12.4534,29
15.2,-86.2419,421268
47.1625,19.5033,1876946
64.9631,-19.0208,183974
20.593684,78.96288,43039023
-0.7893,113.9213,6036909
32.427908,53.688046,7199861
33.223191,43.679291,2322551
53.1424,-7.6921,1496910
31.046051,34.851612,4016912
41.87194,12.56738,15467395
18.1096,-77.2975,129108
36.204824,138.252924,7179839
31.24,36.51,1694957
48.0196,66.9237,1394143
-0.0236,37.9062,323588
-3.3704,-168.734,3069
35.907757,127.766922,15979061
42.602636,20.902977,227789
29.31166,47.481766,630641
41.20438,74.766098,200973
19.85627,102.495496,198318
56.8796,24.6032,811056
33.8547,35.8623,1095099
-29.61,28.2336,32968
6.428055,-9.429499,7402
26.3351,17.228331,501834
47.14,9.55,16865
55.1694,23.8813,1045085
49.8153,6.1296,227528
0,0,9
-18.766947,46.869107,64089
-13.2543,34.3015,85713
4.210484,101.975766,4352611
3.2028,73.2207,178320
17.570692,-3.996166,30602
35.9375,14.3754,87441
7.1315,171.1845,7
21.0079,-10.9408,58680
-20.348404,57.552152,214860
23.6345,-102.5528,5724611
7.4256,150.5508,1
47.4116,28.3699,515804
43.7333,7.4167,11299
46.8625,103.8467,920044
42.708678,19.37439,233908
31.7917,-7.0926,1164189
-18.665695,35.529562,225304
-22.9576,18.4904,157914
28.1667,84.25,978631
12.5211,-69.9683,34264
12.1784,-68.2385,9346
12.1696,-68.99,41306
18.0425,-63.0548,9909
52.1326,5.2913,8090859
-21.2367,-159.7777,3688
-40.9006,174.886,805240
12.865416,-85.207229,18491
17.607789,8.081666,8846
